opportunity_id,close_date ,expected_close_date,opportunity_amount,lost_reason_id,stage_id,product_id,user_id,lead_id,customer_id
OPP92580,Na,2020-12-21,80568,LOS00001,STA00001,PRO98085,USE70047,LEA65783,CUS35757
OPP80739,2021-05-19,2021-04-19,902235,LOS00002,STA00002,PRO19301,USE42561,LEA42062,CUS50908
OPP10274,Na,2022-12-13,410741,LOS00003,STA00003,PRO40808,USE01758,LEA78448,CUS19685
OPP85884,2022-02-26,2022-01-26,924785,LOS00004,STA00004,PRO95982,USE90173,LEA96201,CUS27996
OPP44215,2022-04-14,2022-03-14,935827,LOS00005,STA00005,PRO30045,USE40632,LEA01635,CUS17442
OPP70562,Na,2021-06-07,302256,LOS00006,STA00006,PRO01485,USE90173,LEA24802,CUS23589
OPP60735,2020-10-14,2020-09-14,186146,LOS00007,STA00007,PRO51725,USE17947,LEA69324,CUS33322
OPP23268,2022-12-04,2022-11-04,565209,LOS00008,STA00008,PRO46773,USE01758,LEA27258,CUS55465
OPP81404,2021-02-22,2021-01-22,527040,LOS00009,STA00009,PRO74373,USE16130,LEA78187,CUS00154
OPP38638,2023-04-15,2023-03-15,196892,LOS00010,STA00010,PRO86898,USE95961,LEA40819,CUS96768
OPP06306,Na,2022-03-26,683457,LOS00011,STA00011,PRO19301,USE08695,LEA59360,CUS23247
OPP66587,2022-12-26,2022-11-26,967948,LOS00012,STA00012,PRO04233,USE08695,LEA12713,CUS08763
OPP61295,2022-11-16,2022-10-16,893428,LOS00013,STA00013,PRO13996,USE97715,LEA50692,CUS15981
OPP55628,2022-11-16,2022-10-16,687683,LOS00014,STA00014,PRO56174,USE21141,LEA43998,CUS12672
OPP37355,Na,2020-04-02,452898,LOS00015,STA00015,PRO46773,USE24976,LEA59089,CUS15130
OPP65722,2022-09-15,2022-08-15,144355,LOS00016,STA00016,PRO04233,USE51109,LEA85790,CUS08840
OPP28164,Na,2021-02-23,664645,LOS00017,STA00017,PRO67890,USE02355,LEA32502,CUS26176
OPP65696,2022-05-18,2022-04-18,465818,LOS00018,STA00018,PRO67495,USE14736,LEA20471,CUS13357
OPP35506,2021-08-30,2021-07-30,568721,LOS00019,STA00019,PRO04233,USE51109,LEA37192,CUS26577
OPP56105,Na,2021-03-28,867152,LOS00020,STA00020,PRO77206,USE02355,LEA33652,CUS79008
OPP03839,2022-11-02,2022-10-02,409311,LOS00021,STA00021,PRO29563,USE21508,LEA19007,CUS33463
OPP71052,Na,2022-01-03,266079,LOS00022,STA00022,PRO75076,USE95961,LEA92671,CUS25316
OPP57711,2022-12-23,2022-11-23,914680,LOS00023,STA00023,PRO97881,USE02936,LEA91025,CUS90027
OPP93457,2020-07-09,2020-06-09,836805,LOS00024,STA00024,PRO09500,USE67246,LEA90732,CUS65285
OPP51736,Na,2020-06-01,668265,LOS00025,STA00025,PRO14701,USE21141,LEA83331,CUS87714
OPP93060,Na,2022-03-29,364784,LOS00026,STA00026,PRO13996,USE46703,LEA66986,CUS00516
OPP51859,2022-11-14,2022-10-14,703573,LOS00027,STA00027,PRO41240,USE97715,LEA56713,CUS67775
OPP39727,Na,2021-10-01,906332,LOS00028,STA00028,PRO57903,USE46703,LEA99771,CUS29918
OPP07966,2022-12-09,2022-11-09,288727,LOS00029,STA00029,PRO86898,USE02355,LEA25245,CUS63544
OPP07407,Na,2020-11-30,455907,LOS00030,STA00030,PRO04233,USE90173,LEA15984,CUS17596
OPP78832,2022-08-06,2022-07-06,320867,LOS00031,STA00031,PRO64122,USE47430,LEA07865,CUS54745
OPP55200,2022-11-20,2022-10-20,90505,LOS00032,STA00032,PRO63981,USE46703,LEA82968,CUS63344
OPP98231,Na,2021-04-05,814833,LOS00033,STA00033,PRO98085,USE46703,LEA84193,CUS09356
OPP29500,2020-06-14,2020-05-14,644214,LOS00034,STA00034,PRO30045,USE21508,LEA70563,CUS64569
OPP46238,2022-12-07,2022-11-07,456865,LOS00035,STA00035,PRO46773,USE88869,LEA39631,CUS05913
OPP82084,2023-02-18,2023-01-18,905289,LOS00036,STA00036,PRO75076,USE02936,LEA11087,CUS64265
OPP70196,2020-09-24,2020-08-24,587937,LOS00037,STA00037,PRO09500,USE42547,LEA51234,CUS12504
OPP73069,2022-08-21,2022-07-21,490906,LOS00038,STA00038,PRO26667,USE08695,LEA10284,CUS97228
OPP72405,2023-03-26,2023-02-26,280862,LOS00039,STA00039,PRO63981,USE02355,LEA49507,CUS51544
OPP06278,Na,2022-08-29,34195,LOS00040,STA00040,PRO95982,USE97715,LEA59107,CUS54092
OPP88710,2022-05-07,2022-04-07,238760,LOS00041,STA00041,PRO29563,USE08695,LEA27750,CUS75844
OPP26154,Na,2022-08-06,651596,LOS00042,STA00042,PRO30045,USE23457,LEA39788,CUS37785
OPP06056,Na,2020-05-23,138021,LOS00043,STA00043,PRO40808,USE42561,LEA12067,CUS58916
OPP11804,Na,2020-07-16,334642,LOS00044,STA00044,PRO64497,USE98230,LEA97063,CUS99364
OPP43555,Na,2021-01-01,673872,LOS00045,STA00045,PRO64122,USE97715,LEA82744,CUS34669
OPP21686,2023-04-08,2023-03-08,440034,LOS00046,STA00046,PRO21215,USE90173,LEA40968,CUS17324
OPP50526,Na,2023-02-12,305715,LOS00047,STA00047,PRO86754,USE01758,LEA80522,CUS46575
OPP70987,Na,2022-06-19,673157,LOS00048,STA00048,PRO64828,USE95961,LEA06111,CUS51771
OPP47281,Na,2020-05-29,295754,LOS00049,STA00049,PRO04233,USE23457,LEA22022,CUS82487
OPP41844,2023-01-21,2022-12-21,415546,LOS00050,STA00050,PRO63981,USE16130,LEA98113,CUS10424
OPP03731,Na,2022-09-29,534804,LOS00051,STA00051,PRO46773,USE70047,LEA14818,CUS26746
OPP04972,2020-09-21,2020-08-21,706284,LOS00052,STA00052,PRO04233,USE14736,LEA92712,CUS96960
OPP71452,2023-03-20,2023-02-20,715959,LOS00053,STA00053,PRO64122,USE97715,LEA10487,CUS08983
OPP70665,2021-08-08,2021-07-08,481657,LOS00054,STA00054,PRO13996,USE35653,LEA13574,CUS16556
OPP03839,2022-10-21,2022-09-21,709496,LOS00055,STA00055,PRO51725,USE40632,LEA18639,CUS50668
OPP59927,Na,2022-05-25,110304,LOS00056,STA00056,PRO64497,USE42547,LEA57775,CUS43122
OPP44014,2022-08-28,2022-07-28,785902,LOS00057,STA00057,PRO14701,USE51109,LEA19202,CUS72030
OPP23451,2020-11-09,2020-10-09,706170,LOS00058,STA00058,PRO14701,USE02355,LEA62101,CUS28901
OPP94065,2020-05-04,2020-04-04,309153,LOS00059,STA00059,PRO30045,USE69267,LEA08804,CUS10645
OPP93630,2022-02-11,2022-01-11,893733,LOS00060,STA00060,PRO26667,USE21508,LEA94238,CUS50723
OPP33331,2022-04-10,2022-03-10,956393,LOS00061,STA00061,PRO45787,USE70047,LEA52442,CUS98934
OPP87267,Na,2021-09-29,31201,LOS00062,STA00062,PRO74373,USE70047,LEA21764,CUS18172
OPP03376,Na,2022-07-22,626465,LOS00063,STA00063,PRO57903,USE24976,LEA08253,CUS44839
OPP42237,Na,2020-06-25,446027,LOS00064,STA00064,PRO51045,USE86666,LEA06229,CUS53558
OPP28033,2020-10-02,2020-09-02,881548,LOS00065,STA00065,PRO40808,USE01758,LEA77445,CUS54838
OPP67601,Na,2020-09-07,914076,LOS00066,STA00066,PRO67495,USE02355,LEA39373,CUS03946
OPP29206,2021-12-22,2021-11-22,629079,LOS00067,STA00067,PRO75076,USE14736,LEA50469,CUS57547
OPP07950,Na,2021-09-24,979209,LOS00068,STA00068,PRO07576,USE08695,LEA17949,CUS02761
OPP28835,2020-06-13,2020-05-13,699248,LOS00069,STA00069,PRO64497,USE64167,LEA97947,CUS91582
OPP44638,Na,2022-06-17,827974,LOS00070,STA00070,PRO99910,USE21508,LEA20500,CUS14137
OPP79411,Na,2021-02-22,671119,LOS00071,STA00071,PRO45787,USE23457,LEA62378,CUS06230
OPP20624,2023-04-14,2023-03-14,152113,LOS00072,STA00072,PRO14992,USE08403,LEA51272,CUS38089
OPP58996,2022-04-16,2022-03-16,295931,LOS00073,STA00073,PRO14701,USE40632,LEA06998,CUS94493
OPP65071,Na,2021-11-07,21160,LOS00074,STA00074,PRO79367,USE88869,LEA79988,CUS17408
OPP42715,Na,2021-09-16,394659,LOS00075,STA00075,PRO81999,USE47430,LEA48010,CUS98139
OPP84897,2022-06-19,2022-05-19,364020,LOS00076,STA00076,PRO75076,USE23457,LEA11695,CUS32525
OPP78599,Na,2022-09-13,315062,LOS00077,STA00077,PRO07576,USE64167,LEA00510,CUS03149
OPP74845,Na,2020-08-11,900876,LOS00078,STA00078,PRO74373,USE14736,LEA48853,CUS78120
OPP05132,Na,2020-06-01,418807,LOS00079,STA00079,PRO19301,USE40632,LEA20942,CUS36932
OPP20829,Na,2021-12-24,541227,LOS00080,STA00080,PRO86754,USE21141,LEA17478,CUS68550
OPP72164,2021-01-19,2020-12-19,975537,LOS00081,STA00081,PRO77206,USE97715,LEA56597,CUS37465
OPP88082,2021-06-05,2021-05-05,46119,LOS00082,STA00082,PRO98085,USE95961,LEA20337,CUS94293
OPP11966,2021-03-07,2021-02-07,36898,LOS00083,STA00083,PRO10732,USE90173,LEA26849,CUS63040
OPP19278,Na,2020-09-13,292389,LOS00084,STA00084,PRO86898,USE98230,LEA38085,CUS32503
OPP07379,Na,2021-04-09,810236,LOS00085,STA00085,PRO64122,USE02355,LEA75384,CUS35757
OPP79847,Na,2022-08-18,678542,LOS00086,STA00086,PRO79367,USE70047,LEA13220,CUS81235
OPP22489,2020-05-03,2020-04-03,377862,LOS00087,STA00087,PRO40808,USE90173,LEA19325,CUS30237
OPP59073,2020-08-02,2020-07-02,513749,LOS00088,STA00088,PRO67495,USE46703,LEA81150,CUS82115
OPP45855,Na,2021-10-04,114618,LOS00089,STA00089,PRO83380,USE02936,LEA12891,CUS05622
OPP78882,Na,2020-05-15,731248,LOS00090,STA00090,PRO97881,USE16130,LEA69121,CUS40816
OPP83909,2021-12-04,2021-11-04,701483,LOS00091,STA00091,PRO03838,USE40632,LEA55701,CUS70431
OPP85528,Na,2020-04-01,977135,LOS00092,STA00092,PRO21215,USE23457,LEA09845,CUS86687
OPP12780,Na,2022-05-20,839633,LOS00093,STA00093,PRO99910,USE98230,LEA72742,CUS60208
OPP53095,Na,2020-05-03,605988,LOS00094,STA00094,PRO64497,USE27298,LEA15023,CUS44635
OPP29842,Na,2021-04-28,774797,LOS00095,STA00095,PRO81999,USE69267,LEA14827,CUS89374
OPP45679,2021-03-25,2021-02-25,855328,LOS00096,STA00096,PRO99910,USE02936,LEA74679,CUS62082
OPP84923,Na,2022-01-15,21509,LOS00097,STA00097,PRO64497,USE90173,LEA62496,CUS93832
OPP95795,2021-09-30,2021-08-31,703622,LOS00098,STA00098,PRO26667,USE14736,LEA81359,CUS32126
OPP73800,2021-12-20,2021-11-20,313927,LOS00099,STA00099,PRO67890,USE97715,LEA69324,CUS41385
OPP27645,Na,2020-05-15,951198,LOS00100,STA00100,PRO64497,USE97715,LEA76601,CUS52214
OPP09237,2023-01-09,2022-12-09,591188,LOS00101,STA00101,PRO40808,USE46703,LEA93786,CUS09029
OPP02031,2023-04-13,2023-03-13,841178,LOS00102,STA00102,PRO14701,USE01758,LEA66176,CUS71998
OPP96167,Na,2023-02-08,755125,LOS00103,STA00103,PRO64828,USE70047,LEA93857,CUS72778
OPP41229,Na,2020-12-27,895133,LOS00104,STA00104,PRO65552,USE67246,LEA20686,CUS12235
OPP36247,2021-11-27,2021-10-27,960294,LOS00105,STA00105,PRO26667,USE88869,LEA29251,CUS64566
OPP73545,Na,2020-09-03,575664,LOS00106,STA00106,PRO14701,USE47430,LEA31647,CUS49718
OPP15956,2022-01-29,2021-12-29,811251,LOS00107,STA00107,PRO77206,USE17947,LEA71356,CUS26470
OPP12619,2021-05-05,2021-04-05,910174,LOS00108,STA00108,PRO83380,USE48045,LEA43080,CUS93798
OPP11162,Na,2021-06-14,927059,LOS00109,STA00109,PRO14992,USE47430,LEA05589,CUS18312
OPP46168,2021-09-14,2021-08-14,114061,LOS00110,STA00110,PRO65552,USE08695,LEA83980,CUS96477
OPP42813,Na,2022-10-31,981118,LOS00111,STA00111,PRO99910,USE02936,LEA33681,CUS71045
OPP97109,2023-03-24,2023-02-24,127292,LOS00112,STA00112,PRO41627,USE67246,LEA62627,CUS53700
OPP25663,2020-08-13,2020-07-13,628355,LOS00113,STA00113,PRO45787,USE34324,LEA82651,CUS94944
OPP96591,2020-06-20,2020-05-20,782603,LOS00114,STA00114,PRO04233,USE86666,LEA83110,CUS86443
OPP38196,Na,2022-08-24,628217,LOS00115,STA00115,PRO51045,USE02936,LEA72827,CUS19297
OPP28134,2020-05-16,2020-04-16,329695,LOS00116,STA00116,PRO65552,USE51109,LEA39496,CUS75309
OPP18768,Na,2022-08-12,131151,LOS00117,STA00117,PRO98085,USE47430,LEA85330,CUS10855
OPP52055,2021-05-04,2021-04-04,310330,LOS00118,STA00118,PRO67495,USE16130,LEA41027,CUS06496
OPP23532,Na,2021-11-04,157592,LOS00119,STA00119,PRO86898,USE34324,LEA81768,CUS17517
OPP02577,Na,2021-06-07,49983,LOS00120,STA00120,PRO64497,USE08695,LEA35441,CUS05483
OPP89784,Na,2021-01-25,995900,LOS00121,STA00121,PRO61136,USE17947,LEA96456,CUS06273
OPP39850,Na,2020-10-30,171490,LOS00122,STA00122,PRO56174,USE47430,LEA99846,CUS23873
OPP72183,Na,2022-10-22,857506,LOS00123,STA00123,PRO26667,USE08695,LEA82302,CUS38068
OPP87995,2020-05-04,2020-04-04,852354,LOS00124,STA00124,PRO14701,USE42547,LEA36295,CUS36078
OPP67174,Na,2022-06-04,700445,LOS00125,STA00125,PRO21215,USE08403,LEA06602,CUS50788
OPP59199,Na,2022-11-20,112289,LOS00126,STA00126,PRO86898,USE86666,LEA04536,CUS27025
OPP19853,Na,2021-07-11,775120,LOS00127,STA00127,PRO86898,USE70047,LEA50992,CUS85444
OPP71157,Na,2022-04-02,773152,LOS00128,STA00128,PRO79367,USE88869,LEA18264,CUS08390
OPP70180,2022-09-15,2022-08-15,100296,LOS00129,STA00129,PRO74373,USE14736,LEA65952,CUS37522
OPP35409,2021-10-12,2021-09-12,742806,LOS00130,STA00130,PRO19301,USE01758,LEA21575,CUS63466
OPP66479,2022-05-11,2022-04-11,127119,LOS00131,STA00131,PRO21215,USE69267,LEA25046,CUS78491
OPP71115,2021-02-18,2021-01-18,819387,LOS00132,STA00132,PRO04233,USE86666,LEA04239,CUS90644
OPP42173,Na,2020-04-13,674464,LOS00133,STA00133,PRO74373,USE46703,LEA83087,CUS65513
OPP97589,2021-09-21,2021-08-21,468253,LOS00134,STA00134,PRO14992,USE90173,LEA21573,CUS50235
OPP06811,Na,2021-04-06,171480,LOS00135,STA00135,PRO14992,USE02355,LEA38317,CUS60430
OPP32757,2022-04-08,2022-03-08,613838,LOS00136,STA00136,PRO01485,USE02355,LEA13302,CUS46509
OPP63877,2022-04-09,2022-03-09,205869,LOS00137,STA00137,PRO40808,USE46703,LEA41262,CUS24896
OPP16752,2022-12-01,2022-11-01,716751,LOS00138,STA00138,PRO61136,USE16130,LEA70237,CUS96288
OPP56062,2022-01-05,2021-12-05,324258,LOS00139,STA00139,PRO70558,USE14736,LEA45690,CUS98597
OPP29773,Na,2022-04-10,395388,LOS00140,STA00140,PRO56174,USE02355,LEA82481,CUS32591
OPP93128,2020-09-26,2020-08-26,385375,LOS00141,STA00141,PRO14701,USE21141,LEA10514,CUS97011
OPP55934,Na,2022-09-09,246088,LOS00142,STA00142,PRO26667,USE02936,LEA86293,CUS71442
OPP39591,2021-06-27,2021-05-27,250513,LOS00143,STA00143,PRO14701,USE40632,LEA91903,CUS78063
OPP04783,Na,2022-05-06,43391,LOS00144,STA00144,PRO86898,USE88869,LEA58003,CUS62030
OPP70594,Na,2020-06-14,261396,LOS00145,STA00145,PRO71161,USE48045,LEA89022,CUS27396
OPP61982,2022-05-12,2022-04-12,357084,LOS00146,STA00146,PRO86898,USE17947,LEA29597,CUS98718
OPP36674,2020-07-30,2020-06-30,15257,LOS00147,STA00147,PRO70558,USE64167,LEA51458,CUS66128
OPP68194,Na,2022-04-29,361340,LOS00148,STA00148,PRO67890,USE97715,LEA03876,CUS74473
OPP36255,Na,2021-11-30,82992,LOS00149,STA00149,PRO39806,USE14736,LEA00060,CUS91342
OPP47719,Na,2020-12-18,970455,LOS00150,STA00150,PRO26667,USE86666,LEA27286,CUS24364
OPP79670,2022-11-04,2022-10-04,591838,LOS00151,STA00151,PRO99910,USE86666,LEA98721,CUS78097
OPP14653,2022-07-05,2022-06-05,117663,LOS00152,STA00152,PRO10732,USE14736,LEA25893,CUS85822
OPP73406,Na,2020-10-19,164590,LOS00153,STA00153,PRO98085,USE64167,LEA19423,CUS27051
OPP90165,2020-09-24,2020-08-24,279442,LOS00154,STA00154,PRO03838,USE51109,LEA24636,CUS95125
OPP40182,2023-03-05,2023-02-05,571192,LOS00155,STA00155,PRO95982,USE95961,LEA19749,CUS90008
OPP89363,2021-11-16,2021-10-16,283445,LOS00156,STA00156,PRO44499,USE14736,LEA64115,CUS86466
OPP60092,Na,2020-12-17,88736,LOS00157,STA00157,PRO30045,USE02355,LEA10719,CUS99539
OPP08443,Na,2023-03-11,503845,LOS00158,STA00158,PRO21215,USE97715,LEA45158,CUS10827
OPP40432,2020-06-22,2020-05-22,952860,LOS00159,STA00159,PRO09500,USE97715,LEA99885,CUS86431
OPP97620,2021-03-23,2021-02-23,339521,LOS00160,STA00160,PRO26667,USE70047,LEA15639,CUS44017
OPP33921,Na,2020-05-16,438450,LOS00161,STA00161,PRO75076,USE01758,LEA21675,CUS65487
OPP46100,Na,2021-10-30,994923,LOS00162,STA00162,PRO57903,USE42547,LEA26783,CUS55248
OPP29051,2022-02-12,2022-01-12,728536,LOS00163,STA00163,PRO21215,USE34324,LEA99546,CUS23915
OPP36689,2021-02-05,2021-01-05,181145,LOS00164,STA00164,PRO51725,USE01758,LEA39184,CUS60715
OPP37823,Na,2021-12-01,26910,LOS00165,STA00165,PRO51045,USE69267,LEA66630,CUS06422
